DATAFLOW,LAST UPDATE,freq,unit,iccs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Dibër,2022,0.91,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Durrës,2022,1.72,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Kukës,2022,0.00,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Lezhë,2022,2.56,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Shkodër,2022,4.14,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Elbasan,2022,0.77,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Tiranë,2022,0.87,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Berat,2022,0.87,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Fier,2022,1.80,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Gjirokastër,2022,0.00,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Korçë,2022,2.53,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Vlorë,2022,2.16,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Mittelburgenland,2022,2.66,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Nordburgenland,2022,0.61,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Südburgenland,2022,0.00,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Mostviertel-Eisenwurzen,2022,0.00,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Niederösterreich-Süd,2022,0.76,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Sankt Pölten,2022,0.63,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Waldviertel,2022,0.46,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Weinviertel,2022,2.38,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Wiener Umland/Nordteil,2022,0.30,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Wiener Umland/Südteil,2022,0.29,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Wien,2022,0.93,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Klagenfurt-Villach,2022,1.02,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Oberkärnten,2022,0.00,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Unterkärnten,2022,0.00,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Graz,2022,1.55,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Liezen,2022,3.77,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Östliche Obersteiermark,2022,0.64,
ESTAT:CRIM_GEN_REG(1.0),23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Intentional homicide,Oststeiermark,2022,0.00,
